ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
MY,2026-03-11T12:13:10.434308,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.9767923355102539
MY,2026-03-11T12:13:20.873448,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,2.7209184169769287
MY,2026-03-11T12:13:28.321686,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,1.6439290046691895
MY,2026-03-11T12:13:35.025226,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,1.3081459999084473
MY,2026-03-11T12:13:42.889321,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.8725254535675049
MY,2026-03-11T12:13:49.913790,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,1.1268622875213623
MY,2026-03-11T12:13:58.161110,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,1.5143389701843262
MY,2026-03-11T12:14:05.656805,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.319929599761963
MY,2026-03-11T12:14:13.336998,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.5155515670776367
MY,2026-03-11T12:14:21.097252,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,1.2700049877166748
MY,2026-03-11T12:14:28.193673,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.7602119445800781
MY,2026-03-11T12:14:34.248908,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.6110458374023438
MY,2026-03-11T12:14:41.609693,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.0937728881835938
MY,2026-03-11T12:14:47.953056,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.502032995223999
MY,2026-03-11T12:14:54.704844,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.3779237270355225
MY,2026-03-11T12:15:00.640823,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.5470900535583496
MY,2026-03-11T12:15:06.200649,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.4447784423828125
