ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
SRQ,2026-03-11T14:47:13.676654,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,2.4281771183013916
SRQ,2026-03-11T14:47:19.508433,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.7213056087493896
SRQ,2026-03-11T14:47:24.908324,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.5973038673400879
SRQ,2026-03-11T14:47:30.068767,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.25731778144836426
SRQ,2026-03-11T14:47:35.212081,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.3508884906768799
SRQ,2026-03-11T14:47:40.275728,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.07252788543701172
SRQ,2026-03-11T14:47:45.947766,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.5568857192993164
SRQ,2026-03-11T14:47:52.051734,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.0751795768737793
SRQ,2026-03-11T14:47:57.739951,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.755256175994873
SRQ,2026-03-11T14:48:02.924057,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,0.30890345573425293
SRQ,2026-03-11T14:48:08.211966,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.3894956111907959
SRQ,2026-03-11T14:48:14.875815,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.9350736141204834
SRQ,2026-03-11T14:48:20.364516,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.6481480598449707
