ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
SWY,2026-03-11T16:16:03.432719,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.7797226905822754
SWY,2026-03-11T16:16:09.096241,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.7805533409118652
SWY,2026-03-11T16:16:14.719548,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.6443624496459961
SWY,2026-03-11T16:16:20.391493,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.7001605033874512
SWY,2026-03-11T16:16:25.591863,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.45754456520080566
SWY,2026-03-11T16:16:31.256317,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.37334299087524414
SWY,2026-03-11T16:16:37.335833,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.4186773300170898
SWY,2026-03-11T16:16:42.639231,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.575538158416748
SWY,2026-03-11T16:16:48.296248,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M0p2,ULM_M1p2,A,ULM_M0p2,0.7724249362945557
SWY,2026-03-11T16:16:53.599979,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.3376796245574951
SWY,2026-03-11T16:16:59.176081,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.8718423843383789
SWY,2026-03-11T16:17:04.567930,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.46677088737487793
SWY,2026-03-11T16:17:10.191639,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.7733948230743408
SWY,2026-03-11T16:17:15.455662,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.3749582767486572
SWY,2026-03-11T16:17:21.327128,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.973315954208374
SWY,2026-03-11T16:17:29.510709,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,3.3257293701171875
SWY,2026-03-11T16:17:34.791806,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.30693864822387695
SWY,2026-03-11T16:17:39.935564,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.23787832260131836
SWY,2026-03-11T16:17:44.902916,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.24898409843444824
SWY,2026-03-11T16:17:50.727164,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.0925045013427734
SWY,2026-03-11T16:18:15.847841,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.4240381717681885
SWY,2026-03-11T16:18:22.255702,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.4652950763702393
SWY,2026-03-11T16:18:27.880252,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.595207929611206
SWY,2026-03-11T16:18:33.095467,Supplementary Experiment 1,pairwise,2,Spatial,4,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.5125424861907959
SWY,2026-03-11T16:18:38.208417,Supplementary Experiment 1,pairwise,2,Spatial,5,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.3637993335723877
SWY,2026-03-11T16:18:44.160190,Supplementary Experiment 1,pairwise,2,Spatial,6,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,1.2466645240783691
SWY,2026-03-11T16:18:49.927120,Supplementary Experiment 1,pairwise,2,Spatial,7,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.958136796951294
SWY,2026-03-11T16:18:55.496506,Supplementary Experiment 1,pairwise,2,Spatial,8,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.5288882255554199
SWY,2026-03-11T16:19:01.054175,Supplementary Experiment 1,pairwise,2,Spatial,9,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.6994028091430664
SWY,2026-03-11T16:19:06.222574,Supplementary Experiment 1,pairwise,2,Spatial,10,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.3129587173461914
SWY,2026-03-11T16:19:11.959108,Supplementary Experiment 1,pairwise,2,Spatial,11,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,1.0458011627197266
SWY,2026-03-11T16:19:17.895183,Supplementary Experiment 1,pairwise,2,Spatial,12,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,1.1576240062713623
SWY,2026-03-11T16:19:23.959184,Supplementary Experiment 1,pairwise,2,Spatial,13,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.1485199928283691
SWY,2026-03-11T16:19:30.254402,Supplementary Experiment 1,pairwise,2,Spatial,14,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.389134168624878
SWY,2026-03-11T16:19:35.902874,Supplementary Experiment 1,pairwise,2,Spatial,15,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.8392767906188965
SWY,2026-03-11T16:19:41.903586,Supplementary Experiment 1,pairwise,2,Spatial,16,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.7996182441711426
SWY,2026-03-11T16:19:48.583121,Supplementary Experiment 1,pairwise,2,Spatial,17,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,1.1159296035766602
