ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
WJ,2026-03-12T14:17:17.919708,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,4.185448884963989
WJ,2026-03-12T14:17:24.991656,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,1.6268622875213623
WJ,2026-03-12T14:17:30.439572,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.40768933296203613
WJ,2026-03-12T14:17:36.230907,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.8443515300750732
WJ,2026-03-12T14:17:42.246658,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.908827543258667
WJ,2026-03-12T14:17:50.246997,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,1.9602997303009033
WJ,2026-03-12T14:17:56.991119,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.461338758468628
WJ,2026-03-12T14:18:03.046856,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,0.9798679351806641
WJ,2026-03-12T14:18:09.623130,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,1.5884623527526855
WJ,2026-03-12T14:18:15.191570,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.5306544303894043
WJ,2026-03-12T14:18:20.822593,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.5859770774841309
WJ,2026-03-12T14:18:26.911806,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,1.153888463973999
WJ,2026-03-12T14:18:33.270793,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p5,ULM_M1p0,A,ULM_M0p5,0.8627378940582275
WJ,2026-03-12T14:18:38.782801,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.5500228404998779
WJ,2026-03-12T14:18:44.398936,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.5981748104095459
WJ,2026-03-12T14:18:50.135430,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.6409168243408203
WJ,2026-03-12T14:18:56.119340,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.7239170074462891
WJ,2026-03-12T14:19:02.303491,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,1.0305876731872559
WJ,2026-03-12T14:19:07.847110,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.526564359664917
WJ,2026-03-12T14:19:14.383013,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.6506240367889404
WJ,2026-03-12T14:19:40.495634,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.8529660701751709
WJ,2026-03-12T14:19:45.806821,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.4603853225708008
WJ,2026-03-12T14:19:51.711190,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.8173050880432129
WJ,2026-03-12T14:19:57.382361,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.8054118156433105
WJ,2026-03-12T14:20:03.126356,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.740502119064331
WJ,2026-03-12T14:20:09.919497,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,1.6426773071289062
WJ,2026-03-12T14:20:15.727351,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.3596525192260742
WJ,2026-03-12T14:20:21.358682,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.6595413684844971
WJ,2026-03-12T14:20:27.702936,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,1.353835105895996
WJ,2026-03-12T14:20:33.078789,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.5435309410095215
WJ,2026-03-12T14:20:39.175460,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.1713111400604248
WJ,2026-03-12T14:20:44.854780,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.6273458003997803
WJ,2026-03-12T14:20:50.479353,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.5835134983062744
WJ,2026-03-12T14:20:56.175466,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.6033813953399658
WJ,2026-03-12T14:21:02.078731,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.9070644378662109
WJ,2026-03-12T14:21:08.639710,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.5362823009490967
WJ,2026-03-12T14:21:14.030904,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.5285956859588623
WJ,2026-03-12T14:21:19.424006,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.438915491104126
WJ,2026-03-12T14:21:24.623094,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.31003856658935547
WJ,2026-03-12T14:21:30.591490,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.5994751453399658
