ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
WYY1,2026-03-12T13:38:55.297097,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M1p0,ULM_M0p5,B,ULM_M0p5,3.2624313831329346
WYY1,2026-03-12T13:39:03.584847,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,3.0979506969451904
WYY1,2026-03-12T13:39:11.248590,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,2.0893054008483887
WYY1,2026-03-12T13:39:17.304485,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,1.0237500667572021
WYY1,2026-03-12T13:39:22.888973,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.5335252285003662
WYY1,2026-03-12T13:39:29.896223,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.4671337604522705
WYY1,2026-03-12T13:39:45.416375,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p2,ULM_M1p2,A,ULM_M0p2,10.107192754745483
WYY1,2026-03-12T13:39:52.192529,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M1p2,ULM_M0p2,B,ULM_M0p2,1.4236950874328613
WYY1,2026-03-12T13:39:57.840287,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.3740360736846924
WYY1,2026-03-12T13:40:03.136675,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.2921149730682373
WYY1,2026-03-12T13:40:08.480547,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.31668639183044434
WYY1,2026-03-12T13:40:15.400115,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.7847106456756592
WYY1,2026-03-12T13:40:20.887641,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.32434844970703125
WYY1,2026-03-12T13:40:26.256356,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M2p0,ULM_M0p2,B,ULM_M0p2,0.3813600540161133
WYY1,2026-03-12T13:40:31.520684,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M0p2,ULM_M2p0,A,ULM_M0p2,0.3350048065185547
WYY1,2026-03-12T13:40:36.912688,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M0p5,ULM_M0p2,B,ULM_M0p2,0.3445401191711426
WYY1,2026-03-12T13:40:43.960642,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,1.1562750339508057
WYY1,2026-03-12T13:40:49.280602,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,0.3683173656463623
WYY1,2026-03-12T13:40:54.832629,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.37657690048217773
WYY1,2026-03-12T13:41:00.256744,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.37415313720703125
WYY1,2026-03-12T13:41:08.480263,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.4051530361175537
WYY1,2026-03-12T13:41:16.096628,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,2.3908071517944336
WYY1,2026-03-12T13:41:21.776555,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.3984231948852539
WYY1,2026-03-12T13:41:26.935980,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.30541229248046875
WYY1,2026-03-12T13:41:32.935858,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.878610372543335
