ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
WY,2026-03-11T16:49:28.779173,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,3.150430202484131
WY,2026-03-11T16:49:35.836415,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,2.002816915512085
WY,2026-03-11T16:49:41.579187,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M0p2,ULM_M1p2,A,ULM_M0p2,0.7108101844787598
WY,2026-03-11T16:49:47.362730,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M0p2,ULM_M1p0,A,ULM_M0p2,0.6809141635894775
WY,2026-03-11T16:49:55.803759,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,2.172725200653076
WY,2026-03-11T16:50:02.827002,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M1p0,ULM_M0p2,B,ULM_M0p2,2.067831039428711
WY,2026-03-11T16:50:12.730601,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,1.4199800491333008
WY,2026-03-11T16:50:18.202711,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p2,ULM_M2p0,A,ULM_M0p2,0.4032726287841797
WY,2026-03-11T16:50:23.827057,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.3665039539337158
WY,2026-03-11T16:50:43.163130,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M2p0,ULM_M0p2,B,ULM_M0p2,14.401867389678955
WY,2026-03-11T16:50:48.763970,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.4854557514190674
WY,2026-03-11T16:50:54.091611,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.28903889656066895
WY,2026-03-11T16:50:59.538693,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.4270045757293701
WY,2026-03-11T16:51:04.643180,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,0.2122485637664795
WY,2026-03-11T16:51:14.274977,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,4.2903876304626465
WY,2026-03-11T16:51:19.802415,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.5516672134399414
WY,2026-03-11T16:51:25.026637,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.31934118270874023
WY,2026-03-11T16:51:41.875459,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,11.870566606521606
WY,2026-03-11T16:51:48.315400,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.1430168151855469
WY,2026-03-11T16:51:53.747231,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.3899228572845459
WY,2026-03-11T16:52:25.427489,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.1442079544067383
WY,2026-03-11T16:52:31.291390,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.39672207832336426
WY,2026-03-11T16:52:36.683359,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.2692105770111084
WY,2026-03-11T16:52:42.874671,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,1.2832295894622803
WY,2026-03-11T16:52:48.507015,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.33814144134521484
WY,2026-03-11T16:52:54.651509,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.9292559623718262
WY,2026-03-11T16:53:01.570754,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.3270902633666992
WY,2026-03-11T16:53:07.514276,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.0658142566680908
WY,2026-03-11T16:53:16.219330,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,3.544551372528076
WY,2026-03-11T16:53:22.146276,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.9453427791595459
WY,2026-03-11T16:53:27.755250,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.6425702571868896
WY,2026-03-11T16:53:33.370822,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.5894763469696045
WY,2026-03-11T16:53:38.794838,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.20784282684326172
WY,2026-03-11T16:53:44.171049,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.30599355697631836
WY,2026-03-11T16:53:49.970233,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.8221261501312256
WY,2026-03-11T16:53:55.419139,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.40561938285827637
WY,2026-03-11T16:54:08.386451,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,7.843345880508423
WY,2026-03-11T16:54:15.027044,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,1.249661922454834
WY,2026-03-11T16:54:20.922740,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.6113548278808594
WY,2026-03-11T16:54:27.226584,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.1688308715820312
