ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
WZR,2026-03-12T19:17:14.053217,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,2.5669236183166504
WZR,2026-03-12T19:17:24.757471,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,5.162478685379028
WZR,2026-03-12T19:17:32.533761,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,2.2918827533721924
WZR,2026-03-12T19:17:43.005464,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,5.015583515167236
WZR,2026-03-12T19:17:49.461960,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.1855475902557373
WZR,2026-03-12T19:17:57.461332,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,2.5413999557495117
WZR,2026-03-12T19:18:06.660726,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.8514964580535889
WZR,2026-03-12T19:18:26.085286,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,14.106512546539307
WZR,2026-03-12T19:18:34.556904,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,3.325719118118286
WZR,2026-03-12T19:18:50.333648,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,10.298040628433228
WZR,2026-03-12T19:19:04.877606,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,9.130510330200195
