ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
WZT,2026-03-13T12:20:32.002173,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.6600651741027832
WZT,2026-03-13T12:20:38.984963,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.9570436477661133
WZT,2026-03-13T12:20:44.673715,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.8042819499969482
WZT,2026-03-13T12:20:50.241959,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.6267604827880859
WZT,2026-03-13T12:20:55.904989,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.5887506008148193
WZT,2026-03-13T12:21:01.209098,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.3364994525909424
WZT,2026-03-13T12:21:07.617677,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.4672553539276123
WZT,2026-03-13T12:21:13.144730,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.6456024646759033
WZT,2026-03-13T12:21:18.368878,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.2792537212371826
WZT,2026-03-13T12:21:23.952849,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.595923900604248
WZT,2026-03-13T12:21:28.881698,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.10489654541015625
WZT,2026-03-13T12:21:35.400939,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.5423760414123535
WZT,2026-03-13T12:21:40.513039,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.3168618679046631
WZT,2026-03-13T12:21:45.777606,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.3507215976715088
WZT,2026-03-13T12:21:51.848726,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.1574134826660156
WZT,2026-03-13T12:21:57.744989,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.9843711853027344
WZT,2026-03-13T12:22:02.984907,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.34784483909606934
WZT,2026-03-13T12:22:08.105363,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.2878587245941162
WZT,2026-03-13T12:22:14.000868,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.9876646995544434
WZT,2026-03-13T12:22:20.697738,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.7127561569213867
WZT,2026-03-13T12:22:29.840936,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,1.8529446125030518
WZT,2026-03-13T12:22:36.849887,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,2.1369123458862305
WZT,2026-03-13T12:22:42.393451,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.6978600025177002
WZT,2026-03-13T12:22:48.024771,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.7154111862182617
WZT,2026-03-13T12:22:53.408773,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.38626694679260254
WZT,2026-03-13T12:22:59.785456,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,1.3783032894134521
WZT,2026-03-13T12:23:05.009246,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.33759284019470215
WZT,2026-03-13T12:23:10.209262,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.28606724739074707
WZT,2026-03-13T12:23:17.008627,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M0p2,ULM_M2p0,A,ULM_M0p2,1.8712100982666016
WZT,2026-03-13T12:23:23.465391,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.6570625305175781
WZT,2026-03-13T12:23:31.114017,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,2.3674309253692627
WZT,2026-03-13T12:23:36.857535,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.5566539764404297
WZT,2026-03-13T12:23:41.905657,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.19602346420288086
WZT,2026-03-13T12:23:47.337762,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.28447747230529785
WZT,2026-03-13T12:23:53.433465,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.1684343814849854
WZT,2026-03-13T12:24:00.145569,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.763244390487671
WZT,2026-03-13T12:24:05.368898,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.30399298667907715
