ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
YF,2026-03-11T13:42:18.957958,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M2p0,ULM_M0p2,B,ULM_M0p2,1.4593636989593506
YF,2026-03-11T13:42:25.501988,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.8968684673309326
YF,2026-03-11T13:42:33.069359,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,1.8278753757476807
YF,2026-03-11T13:42:39.212860,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.9408657550811768
YF,2026-03-11T13:42:44.796561,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M0p2,ULM_M1p2,A,ULM_M0p2,0.6341896057128906
YF,2026-03-11T13:42:50.828772,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.6509943008422852
YF,2026-03-11T13:42:56.276657,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,0.34240174293518066
YF,2026-03-11T13:43:01.829711,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.26139163970947266
YF,2026-03-11T13:43:08.068273,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.2357561588287354
YF,2026-03-11T13:43:13.332519,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.29639697074890137
YF,2026-03-11T13:43:19.189904,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p2,ULM_M0p2,B,ULM_M0p2,0.9283604621887207
YF,2026-03-11T13:43:24.413263,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.3286135196685791
YF,2026-03-11T13:43:29.924914,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p2,ULM_M2p0,A,ULM_M0p2,0.34778428077697754
YF,2026-03-11T13:43:35.173577,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M1p0,ULM_M0p5,B,ULM_M0p5,0.45795273780822754
YF,2026-03-11T13:43:44.588864,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,2.3832249641418457
YF,2026-03-11T13:43:52.036376,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M1p0,ULM_M0p2,B,ULM_M0p2,1.8297457695007324
YF,2026-03-11T13:43:57.581154,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M0p2,ULM_M1p0,A,ULM_M0p2,0.6460950374603271
YF,2026-03-11T13:44:02.867855,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.22814464569091797
YF,2026-03-11T13:44:08.164467,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.26480793952941895
YF,2026-03-11T13:44:16.381696,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,3.397409439086914
YF,2026-03-11T13:44:27.620374,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.4278843402862549
YF,2026-03-11T13:44:32.828888,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.2914302349090576
YF,2026-03-11T13:44:39.652199,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,1.1028339862823486
YF,2026-03-11T13:44:45.324963,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.2676239013671875
YF,2026-03-11T13:44:51.069062,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.7019758224487305
YF,2026-03-11T13:44:56.611849,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.28276968002319336
YF,2026-03-11T13:45:01.845255,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.2999610900878906
YF,2026-03-11T13:45:07.076133,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.2562847137451172
YF,2026-03-11T13:45:12.532698,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.3048858642578125
YF,2026-03-11T13:45:17.651816,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.27219390869140625
YF,2026-03-11T13:45:23.796853,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.3203694820404053
YF,2026-03-11T13:45:29.108174,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.306011438369751
YF,2026-03-11T13:45:34.357137,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.34838199615478516
YF,2026-03-11T13:45:39.532029,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.29172825813293457
YF,2026-03-11T13:45:44.651834,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.22614121437072754
YF,2026-03-11T13:45:50.300656,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.30002307891845703
YF,2026-03-11T13:45:55.756371,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.251875638961792
YF,2026-03-11T13:46:01.333365,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.3289968967437744
YF,2026-03-11T13:46:06.996898,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.47719883918762207
YF,2026-03-11T13:46:14.444860,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,2.1766557693481445
