ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
YST,2026-03-11T17:22:28.919151,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.5927205085754395
YST,2026-03-11T17:22:35.598773,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.795353889465332
YST,2026-03-11T17:22:44.182594,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.5060491561889648
YST,2026-03-11T17:22:52.590318,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.7357468605041504
YST,2026-03-11T17:22:59.150468,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.3950221538543701
YST,2026-03-11T17:23:04.958435,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.8469247817993164
YST,2026-03-11T17:23:10.862904,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.7864954471588135
YST,2026-03-11T17:23:17.575385,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,1.7212417125701904
YST,2026-03-11T17:23:24.062088,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.4097754955291748
YST,2026-03-11T17:23:30.814500,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,1.670027256011963
YST,2026-03-11T17:23:36.143557,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.34206151962280273
YST,2026-03-11T17:23:42.534950,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.3310937881469727
YST,2026-03-11T17:23:48.213855,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.536980390548706
YST,2026-03-11T17:23:53.790757,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.6256380081176758
YST,2026-03-11T17:24:00.663831,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,1.2168769836425781
YST,2026-03-11T17:24:06.029841,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.3498263359069824
YST,2026-03-11T17:24:11.942983,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.9868786334991455
YST,2026-03-11T17:24:17.503199,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.5451862812042236
YST,2026-03-11T17:24:24.534729,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,2.1019821166992188
YST,2026-03-11T17:24:32.759040,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,3.174797296524048
YST,2026-03-11T17:24:44.927117,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.2230756282806396
YST,2026-03-11T17:24:50.358667,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.3985402584075928
YST,2026-03-11T17:24:57.134764,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,1.5342357158660889
YST,2026-03-11T17:25:02.830702,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.7858748435974121
YST,2026-03-11T17:25:09.078155,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,1.320171594619751
YST,2026-03-11T17:25:15.622072,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.2945451736450195
YST,2026-03-11T17:25:21.151063,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.6365187168121338
YST,2026-03-11T17:25:26.742205,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.6228723526000977
YST,2026-03-11T17:25:32.382315,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.7043142318725586
YST,2026-03-11T17:25:39.678614,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,2.068391799926758
YST,2026-03-11T17:25:45.070533,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.3784449100494385
YST,2026-03-11T17:25:50.454417,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.3484363555908203
YST,2026-03-11T17:25:55.822676,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.3019587993621826
YST,2026-03-11T17:26:01.590237,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.24844050407409668
YST,2026-03-11T17:26:07.077925,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.32123231887817383
YST,2026-03-11T17:26:12.509341,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.4657471179962158
YST,2026-03-11T17:26:18.261709,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.45917773246765137
YST,2026-03-11T17:26:23.582688,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.2810044288635254
YST,2026-03-11T17:26:30.207037,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,1.656066656112671
YST,2026-03-11T17:26:36.647384,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,1.3107998371124268
