ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
YYX,2026-03-12T11:12:42.717520,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,2.1174988746643066
YYX,2026-03-12T11:12:49.229610,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,1.4614109992980957
YYX,2026-03-12T11:12:58.365753,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,4.215872287750244
YYX,2026-03-12T11:13:04.709060,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.305361270904541
YYX,2026-03-12T11:13:10.430047,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.8768658638000488
YYX,2026-03-12T11:13:16.148857,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.7778279781341553
YYX,2026-03-12T11:13:22.245745,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.056570291519165
YYX,2026-03-12T11:13:28.444974,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,1.320812702178955
YYX,2026-03-12T11:13:34.036977,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.7214667797088623
YYX,2026-03-12T11:13:40.132697,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,1.097501277923584
YYX,2026-03-12T11:13:46.292707,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.1517040729522705
YYX,2026-03-12T11:13:51.901017,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.5774462223052979
YYX,2026-03-12T11:13:58.013034,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.033564567565918
YYX,2026-03-12T11:14:03.804818,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.8283038139343262
YYX,2026-03-12T11:14:09.684601,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.9668784141540527
YYX,2026-03-12T11:14:15.364745,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.7102046012878418
YYX,2026-03-12T11:14:20.901517,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.6596086025238037
YYX,2026-03-12T11:14:26.245301,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.4345517158508301
YYX,2026-03-12T11:14:32.316712,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,1.0507080554962158
YYX,2026-03-12T11:14:38.261130,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.029778242111206
YYX,2026-03-12T11:14:52.429778,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,2.4971306324005127
YYX,2026-03-12T11:14:58.605493,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,1.3216869831085205
YYX,2026-03-12T11:15:05.061285,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.483999490737915
YYX,2026-03-12T11:15:11.253233,Supplementary Experiment 1,pairwise,2,Spatial,4,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.209468126296997
YYX,2026-03-12T11:15:16.925512,Supplementary Experiment 1,pairwise,2,Spatial,5,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.7444593906402588
YYX,2026-03-12T11:15:22.877199,Supplementary Experiment 1,pairwise,2,Spatial,6,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.9616923332214355
YYX,2026-03-12T11:15:28.884872,Supplementary Experiment 1,pairwise,2,Spatial,7,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.032975196838379
YYX,2026-03-12T11:15:34.845321,Supplementary Experiment 1,pairwise,2,Spatial,8,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,1.0738871097564697
YYX,2026-03-12T11:15:40.828429,Supplementary Experiment 1,pairwise,2,Spatial,9,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.0253455638885498
YYX,2026-03-12T11:15:46.614002,Supplementary Experiment 1,pairwise,2,Spatial,10,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.8392379283905029
YYX,2026-03-12T11:15:52.621014,Supplementary Experiment 1,pairwise,2,Spatial,11,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.7054996490478516
YYX,2026-03-12T11:15:58.213216,Supplementary Experiment 1,pairwise,2,Spatial,12,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.6996095180511475
YYX,2026-03-12T11:16:05.348596,Supplementary Experiment 1,pairwise,2,Spatial,13,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,2.162809371948242
YYX,2026-03-12T11:16:11.709533,Supplementary Experiment 1,pairwise,2,Spatial,14,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,1.2035987377166748
YYX,2026-03-12T11:16:18.789008,Supplementary Experiment 1,pairwise,2,Spatial,15,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,1.84690260887146
YYX,2026-03-12T11:16:24.381363,Supplementary Experiment 1,pairwise,2,Spatial,16,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.7497768402099609
YYX,2026-03-12T11:16:29.965526,Supplementary Experiment 1,pairwise,2,Spatial,17,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.7006275653839111
YYX,2026-03-12T11:16:35.550005,Supplementary Experiment 1,pairwise,2,Spatial,18,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.7431957721710205
YYX,2026-03-12T11:16:41.445018,Supplementary Experiment 1,pairwise,2,Spatial,19,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.8352794647216797
YYX,2026-03-12T11:16:47.909154,Supplementary Experiment 1,pairwise,2,Spatial,20,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.202768087387085
