ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
YZX,2026-03-12T21:25:13.368916,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,7.2057249546051025
YZX,2026-03-12T21:25:20.264283,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.7049260139465332
YZX,2026-03-12T21:25:29.161080,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,3.6295628547668457
YZX,2026-03-12T21:25:34.737161,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.5662744045257568
YZX,2026-03-12T21:25:41.664280,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.8864753246307373
YZX,2026-03-12T21:25:48.704417,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,1.7677018642425537
YZX,2026-03-12T21:25:55.728565,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,2.097083330154419
YZX,2026-03-12T21:26:01.264151,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.5161869525909424
YZX,2026-03-12T21:26:08.497327,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.1380290985107422
YZX,2026-03-12T21:26:15.496247,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.8348274230957031
YZX,2026-03-12T21:26:21.656738,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.8413615226745605
YZX,2026-03-12T21:26:27.064384,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.37277722358703613
YZX,2026-03-12T21:26:34.864662,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,2.7539849281311035
YZX,2026-03-12T21:26:42.168405,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,2.3217058181762695
YZX,2026-03-12T21:26:48.264516,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.135721206665039
