ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
ZYH,2026-03-12T14:46:26.246796,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,2.033017873764038
ZYH,2026-03-12T14:46:32.461846,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.7706813812255859
ZYH,2026-03-12T14:46:38.429827,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.9266166687011719
ZYH,2026-03-12T14:46:44.053860,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.31789183616638184
ZYH,2026-03-12T14:46:49.534436,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.33194828033447266
ZYH,2026-03-12T14:46:55.782922,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.0394649505615234
ZYH,2026-03-12T14:47:01.086287,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.2839655876159668
ZYH,2026-03-12T14:47:07.349776,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.9705865383148193
ZYH,2026-03-12T14:47:13.181546,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.37331080436706543
ZYH,2026-03-12T14:47:19.070449,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.3192789554595947
ZYH,2026-03-12T14:47:24.878367,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.5564377307891846
ZYH,2026-03-12T14:47:30.310208,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.26198601722717285
ZYH,2026-03-12T14:47:36.958581,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.1132004261016846
ZYH,2026-03-12T14:47:42.631120,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.5771281719207764
ZYH,2026-03-12T14:47:48.398036,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.666879415512085
ZYH,2026-03-12T14:47:54.366494,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.5455539226531982
ZYH,2026-03-12T14:48:01.941096,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,2.318849563598633
ZYH,2026-03-12T14:48:08.045746,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.7406039237976074
ZYH,2026-03-12T14:48:13.613932,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.568770170211792
ZYH,2026-03-12T14:48:19.990659,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.1851589679718018
ZYH,2026-03-12T14:48:33.206528,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.8725662231445312
ZYH,2026-03-12T14:48:38.566189,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.2890439033508301
ZYH,2026-03-12T14:48:45.198894,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M1p0,ULM_M0p5,B,ULM_M0p5,0.563178539276123
ZYH,2026-03-12T14:48:50.870782,Supplementary Experiment 1,pairwise,2,Spatial,4,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.5256679058074951
ZYH,2026-03-12T14:48:56.678302,Supplementary Experiment 1,pairwise,2,Spatial,5,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.7344439029693604
ZYH,2026-03-12T14:49:02.614115,Supplementary Experiment 1,pairwise,2,Spatial,6,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.9191787242889404
ZYH,2026-03-12T14:49:08.174945,Supplementary Experiment 1,pairwise,2,Spatial,7,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.6318645477294922
ZYH,2026-03-12T14:49:14.141829,Supplementary Experiment 1,pairwise,2,Spatial,8,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.4512946605682373
ZYH,2026-03-12T14:49:19.942321,Supplementary Experiment 1,pairwise,2,Spatial,9,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.6821868419647217
ZYH,2026-03-12T14:49:25.349632,Supplementary Experiment 1,pairwise,2,Spatial,10,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.44008302688598633
ZYH,2026-03-12T14:49:31.253765,Supplementary Experiment 1,pairwise,2,Spatial,11,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.40048885345458984
ZYH,2026-03-12T14:49:37.470484,Supplementary Experiment 1,pairwise,2,Spatial,12,ULM_M0p5,ULM_M1p0,A,ULM_M0p5,0.3244180679321289
ZYH,2026-03-12T14:49:43.886539,Supplementary Experiment 1,pairwise,2,Spatial,13,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,1.1693902015686035
ZYH,2026-03-12T14:49:51.070494,Supplementary Experiment 1,pairwise,2,Spatial,14,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,2.2476918697357178
